file,split,question_id,question_desc,mistake_agent,mistake_step,mistake_reason,standardized
1.json,Hand-Crafted,6e3be83d1949fa52cba03fb1ce4b5b3bf7e37a83fd7d67694b10b2e439d90cf8,Where can I take martial arts classes within a five-minute walk from the New York Stock Exchange after work (7-9 pm)?,WebSurfer,12,WebSurfer clicks on an irrelevant website and disrupts the task-solving process.,Agent navigation to irrelevant resources causing process disruption.
2.json,Hand-Crafted,55f4258484c5b398956133128a50462a767da211f8f72aa5ac5bbffb9bcbba1a,What is the worst rated series (according to Rotten Tomatoes) with more than 1 season that Ted Danson has starred in and is available on Amazon Prime Video (US)?,WebSurfer,4,The information obtained by WebSurfer is neither reliable nor satisfies the requirements of the Orchestrator.,Agent provided unreliable or insufficient information.
3.json,Hand-Crafted,0a65cb96-cb6e-4a6a-8aae-c1084f613456,"During the first week of August 2015, one of the NASA Astronomy Pictures of the Day shows the lights of a city on the horizon. The namesake of this city also has a landmark building in Chicago named after him. What is the name of the architectural firm that designed this landmark building? Give the first name appearing in the name of the firm as of June 2023.",WebSurfer,32,The WebSurfer should find the clickable link to the APOD image for the first week of August 2015 and extract the city name from the image's description.,Failure to locate and extract required information from a specified source.
4.json,Hand-Crafted,f88066d274e265edd6cd9d61cd80a41accb3a14baf2297652fdd05cdf716d455,"What popular hiking trails to waterfalls in Yosemite National Park (more than 1,000 reviews on TripAdvisor) have been recommended to be fully accessible to wheelchairs by at least three different people and are highly rated (4.5/5 or more on average)?",WebSurfer,8,"The WebSurfer should visit TripAdvisor pages for specific trails to verify the number of reviews, average rating, instead it over relys on search results.",Over-reliance on secondary data instead of primary source verification.
5.json,Hand-Crafted,ed58682d-bc52-4baa-9eb0-4eb81e1edacc,What is the last word before the second chorus of the King of Pop's fifth single from his sixth studio album?,WebSurfer,12,The WebSurfer did not provide the correct OCR text for the lyrics of the song 'Human Nature' by Michael Jackson in the bing search results.,Agent failed to retrieve accurate text data from web source.
6.json,Hand-Crafted,e6bc98089608217e45b6956a46518fe3cce64a799b3ac43c6974c449ae14c408,"What's the highest price a high-rise apartment was sold for in Mission Bay, San Francisco, in 2021?",Orchestrator,5,The agent does not verify the information and check whether the highest price of the house is located at Mission Bay. The search result is not accurate.,Failure to verify information accuracy against source data.
7.json,Hand-Crafted,a1e91b78-d3d8-4675-bb8d-62741b4b68a6,"In the video https://www.youtube.com/watch?v=L1vXCYZAYYM, what is the highest number of bird species to be on camera simultaneously?",WebSurfer,8,"The WebSurfer directly reaches a conclusion without performing the correct actions, such as taking a screenshot and extracting the bird species.",Agent skipped required observation or verification steps.
8.json,Hand-Crafted,9e31099fffa6a3891c94934fd4fc2f3f522d51c1904ff3561f3a10e4bf245821,Which of the people in the monday.com C-suite did not have a C-suite position during the company's IPO?,WebSurfer,8,The WebSurfer does not click on useful information.,Agent fails to execute necessary navigation actions.
9.json,Hand-Crafted,e2d69698-bc99-4e85-9880-67eaccd66e6c,"As of August 2023, who is the only winner of the US version of Survivor to be born in the month of May?",Orchestrator,25,"The Orchestrator should not replan. The answer is in the previous step, while it should try to verify the birthdate of the provided winners one by one.",Failure to verify prior results before initiating new planning.
10.json,Hand-Crafted,8ad84bd6fe38481ba49e7ad1f6fbd43219a999074e5c6fc940003281f55ec65b,Which supermarkets within 2 blocks of Lincoln Park in Chicago have ready-to-eat salad for under $15?,Orchestrator,9,"The Orchestrator should not directly decide to check other criteria. In fact, WebSurfer did not provide a full list of supermarkets in the previous step.",Orchestrator overstepped by making decisions based on incomplete subordinate agent data.
11.json,Hand-Crafted,624cbf11-6a41-4692-af9c-36b3e5ca3130,What's the last line of the rhyme under the flavor name on the headstone visible in the background of the photo of the oldest flavor's headstone in the Ben & Jerry's online flavor graveyard as of the end of 2022?,WebSurfer,24,The agent should recognize that the website has clickable and expandable tabs containing the full rhyme for each flavor.,Failure to interact with dynamic website elements.
12.json,Hand-Crafted,2dfc4c37-fec1-4518-84a7-10095d30ad75,"According to Box Office Mojo's 2020 Worldwide Box Office list, how many of the top 10 highest-grossing worldwide movies are also on the top 10 highest-grossing domestic movies? Your answer should be a numerical integer value.",Assistant,16,"When listing the top 10 domestic movies, the assistant omitted 'Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train' and included 'Wonder Woman 1984' instead. This led to an incorrect count of common movies between the two lists.",Incorrect data selection from a specified source list.
13.json,Hand-Crafted,9baaa267c95f9d8b75741ee9169c50563d297cfa592c20deaffd30dbc5984c74,"Based on recent years (2020-2023), how likely am I to hit a day with a max temperature (in Fahrenheit) over 95 if I travel to Houston, Texas during June? (provide the answer in percentage)",WebSurfer,12,"The websurfer did not actually enter the location and click the view. Therefore the website keeps on the same page and the same OCR result. If the location is correctly entered, the website link will change.",Agent failed to execute required navigation action.
14.json,Hand-Crafted,8d46b8d6-b38a-47ff-ac74-cda14cf2d19b,What percentage of the total penguin population according to the upper estimates on english Wikipedia at the end of 2012 is made up by the penguins in this file that don't live on Dream Island or have beaks longer than 42mm? Round to the nearest five decimal places.,Orchestrator,14,The code is wrong.,Incorrect or flawed algorithmic implementation.
