file,split,question_id,question_desc,mistake_agent,mistake_step,mistake_reason,standardized
1.json,Algorithm-Generated,4d51c4bf-4b0e-4f3d-897b-3f6687a7d9f2,"This spreadsheet contains a list of clients for a retractable awning company. Each client has ordered a new awning for the back of their house within the last 90 days. The company makes different designs depending on whether the awning is made to block sunrises or sunsets. In this region, houses with odd-numbered street addresses face east, and houses with even-numbered street addresses face west. How many of these clients will be receiving the sunset awning design?",Excel_Expert,0,"The code failed to handle edge cases in the 'Street Address' data, leading to an incomplete and inaccurate count of even-numbered addresses.",Failure to handle edge cases in input data validation.
2.json,Algorithm-Generated,cf106601-ab4f-4af9-b045-5295fe67b37d,"What country had the least number of athletes at the 1928 Summer Olympics? If there's a tie for a number of athletes, return the first in alphabetical order. Give the IOC country code as your answer.",Verification_Expert,2,The agent starts by generating a simulated dataset and then processes the data to identify the country with the least number of athletes. It should search the web for real historical data.,Agent relied on simulated data instead of external verification.
3.json,Algorithm-Generated,df6561b2-7ee5-4540-baab-5095f742716a,"When you take the average of the standard population deviation of the red numbers and the standard sample deviation of the green numbers in this image using the statistics module in Python 3.11, what is the result rounded to the nearest three decimal points?",Verification_Expert,4,"To answer the question, the agent should not make any assumptions.",Agent made unwarranted assumptions about required data.
4.json,Algorithm-Generated,f2feb6a4-363c-4c09-a804-0db564eafd68,"I’m thinking about selling my home, so I want to learn more about how homes in my area sold recently. I live in Pearl City, Hawaii, which is on the island of Oahu. I know two homes near me that sold in 2022 were 2072 Akaikai Loop, and 2017 Komo Mai Drive. Find which of those homes sold for more in 2022, and tell me how much it sold for. Don’t put commas or decimal places in the answer.",HawaiiRealEstate_Expert,2,"The price provided by HawaiiRealEstate_Expert is incorrect, causing the error to propagate through subsequent steps to the final output.",Propagation of incorrect data from upstream source.
5.json,Algorithm-Generated,42d4198c-5895-4f0a-b0c0-424a66465d83,I'm curious about how much information is available for popular video games before their release. Find the Wikipedia page for the 2019 game that won the British Academy Games Awards. How many revisions did that page have before the month listed as the game's release date on that Wikipedia page (as of the most recent entry from 2022)?,DataVerification_Expert,3,The agent wrote incorrect code and obtained the wrong result.,Code execution error leading to incorrect result.
6.json,Algorithm-Generated,b816bfce-3d80-4913-a07d-69b752ce6377,"In Emily Midkiff's June 2014 article in a journal named for the one of Hreidmar's sons that guarded his house, what word was quoted from two different authors in distaste for the nature of dragon depictions?",Literary_Analysis_Expert,1,"The code calls the arxiv_search tool; however, using other tools, such as perform_web_search, would be more appropriate because arXiv is primarily academically oriented.",Inappropriate tool selection for the query context.
7.json,Algorithm-Generated,5d0080cb-90d7-4712-bc33-848150e917d3,"What was the volume in m^3 of the fish bag that was calculated in the University of Leicester paper ""Can Hiccup Supply Enough Fish to Maintain a Dragon’s Diet?""",ScientificPaperAnalysis_Expert,5,Made an incorrect assumption that the PDF file was available and accessible.,Assumed resource availability without verification.
8.json,Algorithm-Generated,65afbc8a-89ca-4ad5-8d62-355bb401f61d,"You are given this Excel file as a map. You start on the START cell and move toward the END cell. You are allowed to move two cells per turn, and you may move up, down, left, or right. You may not move fewer than two cells, and you may not move backward. You must avoid moving onto any blue cells. On the eleventh turn, what is the 6-digit hex code (without prefix) of the color of the cell where you land after moving?",AlgorithmDesign_Expert,4,"The agent writes code using pandas, which cannot handle the color data in the Excel file. As a result, the code fails to retrieve the color information from the final position.",Library incompatible with required data format.
9.json,Algorithm-Generated,e142056d-56ab-4352-b091-b56054bd1359,"Bob was invited to participate in a game show, and he advanced to the final round. The final round offered Bob the chance to win a large sum by playing a game against the host. The host has 30 shiny prop coins, each of which is worth $1,000 if Bob manages to win them by playing the game. The host hides the coins in three different prize boxes and then shuffles their order. The only rule restricting the host's coin placement is that one box must contain at least 2 coins, and one box must contain 6 more coins than another box. In order to play, Bob must submit three guesses, one guess for the number of coins in each box. The box is then opened and the number of coins is revealed. If Bob's guess is a number greater than the number of coins in the box, Bob earns no coins. If Bob guesses a number equal to or less than the number of coins in the box, Bob wins a number of coins equal to his guess.

If Bob plays uses the optimal strategy, what's the minimum amount of money he can win from the game?",GameTheory_Expert,1,"The calculation incorrectly assumes that Bob's guesses will always match the number of coins in each box, guaranteeing maximum winnings of $30,000. The task specifically asks for the minimum amount Bob can win under an optimal strategy, which requires considering the worst-case scenario.",Incorrect assumption of optimal outcome instead of worst-case analysis.
10.json,Algorithm-Generated,d1af70ea-a9a4-421a-b9cc-94b5e02f1788,"As of the 2020 census, what was the population difference between the largest county seat and smallest county seat, by land area of the county seat, in Washington state? For population figures, please use the official data from data.census.gov. Please report the integer difference.",Validation_Expert,5,"The agent fabricated the population figures for Seattle and Colville, resulting in an incorrect calculation of the population difference.",Agent generated inaccurate factual data.
